Random,Random,Random,Random,First,First,First,First,Degree,Degree,Degree,Degree,Normal,Normal,Normal,Normal,Sugar,Sugar,Sugar,Sugar,Difficulty,Difficulty
zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,time (seconds),generators
7,5,31,53,10,7,43,71,7,4,31,53,7,4,31,53,7,4,31,53,.000225181,7
11,6,79,140,10,5,73,128,10,4,73,127,10,4,73,127,10,4,73,127,.000257705,9
11,7,47,72,11,7,47,74,11,7,47,74,11,7,48,76,11,7,48,76,.000269093,12
18,11,64,95,13,7,49,73,13,7,49,73,13,7,49,73,13,7,49,73,.000250211,12
11,5,56,97,9,4,46,80,9,4,46,80,9,4,46,80,9,4,46,80,.000299455,9
10,6,43,74,11,7,45,74,7,4,32,54,7,4,32,54,7,4,32,54,.000224486,8
20,14,101,164,18,15,92,155,16,10,89,149,16,10,97,168,16,10,97,168,.000275335,14
17,9,76,128,10,5,64,117,10,4,64,114,10,4,64,114,10,4,64,114,.000247118,9
9,6,43,72,8,4,39,64,8,3,38,63,8,3,38,63,8,3,38,63,.000245984,8
6,1,22,32,7,5,30,49,6,1,22,32,6,1,22,32,6,1,22,32,.000213905,5
15,12,72,119,14,12,71,119,14,9,71,119,14,9,74,126,14,9,74,126,.000298867,14
10,6,43,70,7,4,35,58,7,3,35,58,7,3,35,58,7,3,35,58,.000217407,8
28,18,137,232,11,7,74,131,11,7,72,128,11,7,66,113,11,7,66,113,.000321855,12
16,12,72,116,10,9,71,129,10,6,61,104,10,6,57,94,10,6,57,94,.000254561,10
15,11,77,133,17,10,85,150,11,6,60,111,11,6,61,113,11,6,61,113,.000259721,11
10,6,53,92,8,6,48,86,7,3,45,82,7,3,45,82,7,3,45,82,.000231694,7
13,10,60,107,10,7,58,106,9,5,57,105,9,5,53,97,9,5,53,97,.000242951,9
19,10,48,63,14,9,40,57,13,7,37,51,13,7,37,51,13,7,37,51,.000252848,12
8,5,29,45,7,7,30,49,7,3,30,51,7,3,30,51,7,3,30,51,.000272815,7
18,13,87,153,12,10,70,119,11,6,62,102,11,6,63,109,11,6,63,109,.000259235,11
10,6,49,81,10,8,54,90,10,6,52,90,10,6,49,81,10,6,49,81,.000269926,11
33,24,139,238,12,8,55,94,12,7,55,91,12,7,52,84,12,7,52,84,.000249483,11
15,8,48,71,9,7,39,61,9,6,42,66,9,6,49,82,9,6,49,82,.000246558,10
16,10,61,95,11,10,57,94,11,6,58,99,11,6,52,85,11,6,52,85,.000244693,11
14,12,69,125,11,9,57,104,11,5,58,105,11,5,57,99,11,5,57,99,.000245372,10
11,8,56,94,11,7,58,96,10,6,52,88,10,6,54,90,10,6,54,90,.000240459,10
9,7,53,95,9,6,57,103,9,5,57,103,9,5,63,116,9,5,63,116,.000242809,9
22,14,116,203,16,11,98,173,15,9,94,165,15,9,97,170,15,9,97,170,.000294384,14
29,20,99,147,19,17,68,97,16,12,60,89,16,12,63,96,16,12,63,96,.000295127,16
10,6,35,51,8,4,30,46,7,4,27,40,7,4,27,40,7,4,27,40,.000280732,8
15,13,83,139,13,10,75,133,9,5,67,123,9,5,52,93,9,5,52,93,.000275093,9
12,7,46,73,10,7,42,69,10,4,44,76,10,4,44,76,10,4,44,76,.000246707,9
14,9,52,85,10,5,38,61,10,5,38,61,10,5,41,69,10,5,41,69,.000315761,10
11,7,60,104,10,7,53,91,10,5,51,87,10,5,51,87,10,5,51,87,.000315942,10
12,11,62,100,10,9,47,75,10,6,45,71,10,6,58,96,10,6,58,96,.000237968,11
18,9,71,111,13,6,52,78,9,5,39,58,9,5,45,72,9,5,45,72,.00023259,9
11,8,49,75,10,7,40,60,10,7,40,60,10,7,36,53,10,7,36,53,.000257635,12
19,15,72,114,11,8,50,81,11,7,53,86,11,7,57,98,11,7,57,98,.000281891,12
9,7,50,88,9,7,54,95,9,6,52,88,9,6,51,93,9,6,51,93,.000244761,10
20,17,73,115,12,10,50,81,10,7,43,68,10,7,43,68,10,7,43,68,.000244377,10
25,18,106,171,11,10,61,107,11,8,64,114,11,8,63,108,11,8,63,108,.000267895,12
16,11,66,112,10,6,50,86,9,5,45,77,9,5,45,77,9,5,45,77,.000258396,10
22,19,99,160,13,10,59,96,11,7,51,83,11,7,61,102,11,7,61,102,.000248793,12
17,12,62,97,12,8,41,59,12,8,41,59,12,8,48,72,12,8,48,72,.000383194,13
11,8,55,88,10,5,43,70,10,5,43,70,10,5,50,83,10,5,50,83,.000244335,9
12,12,56,90,10,10,51,86,10,7,50,85,10,7,46,74,10,7,46,74,.00025086,10
28,16,124,207,12,8,52,79,12,7,53,81,12,7,53,81,12,7,53,81,.000248706,10
21,14,99,156,16,16,75,126,12,8,58,92,12,8,64,104,12,8,64,104,.000419691,12
11,8,42,68,8,6,33,56,8,5,32,50,8,5,33,51,8,5,33,51,.000222439,8
24,13,65,91,16,11,61,92,12,7,48,72,12,7,44,65,12,7,44,65,.000303156,11
10,9,59,104,9,6,53,97,9,6,57,101,9,6,57,101,9,6,57,101,.000315589,11
9,5,42,70,7,4,32,53,7,3,34,55,7,3,29,45,7,3,29,45,.000212002,8
13,7,44,63,10,7,43,66,10,6,43,66,10,6,36,53,10,6,36,53,.000258006,11
15,8,68,110,10,7,63,110,10,5,63,110,10,5,63,110,10,5,63,110,.000256269,10
12,8,57,91,12,7,61,102,11,6,57,96,11,6,58,96,11,6,58,96,.000258183,11
13,8,74,131,11,7,78,144,11,5,80,149,11,5,57,95,11,5,57,95,.000268405,10
11,6,34,47,11,6,34,47,10,4,33,46,10,4,42,68,10,4,42,68,.000229604,9
17,11,98,172,18,15,105,187,14,9,91,159,14,9,97,173,14,9,97,173,.000349004,13
18,14,90,152,14,12,62,93,14,10,63,97,14,10,64,100,14,10,64,100,.000276185,15
10,6,60,109,11,6,59,106,9,3,62,111,9,3,62,111,9,3,62,111,.000235522,8
12,9,54,89,10,7,46,73,8,4,39,63,8,4,37,58,8,4,37,58,.000412414,9
9,4,46,78,8,3,41,70,8,2,41,69,8,2,41,66,8,2,41,66,.000240154,7
10,6,46,79,11,8,48,78,10,6,46,79,10,6,49,86,10,6,49,86,.00029384,10
26,17,136,238,16,15,93,164,13,10,77,129,13,10,60,92,13,10,60,92,.000287913,14
23,18,104,166,18,11,72,110,15,9,68,107,15,9,69,109,15,9,69,109,.000325722,14
14,11,63,102,10,7,52,90,10,6,55,94,10,6,50,85,10,6,50,85,.000260537,10
15,11,66,112,9,8,51,90,9,5,52,88,9,5,52,88,9,5,52,88,.000243674,10
7,3,31,49,7,3,31,49,7,2,31,49,7,2,31,49,7,2,31,49,.000249383,7
17,11,82,134,12,8,66,110,12,7,63,104,12,7,64,107,12,7,64,107,.000286661,12
8,5,53,96,10,7,52,91,8,3,46,83,8,3,46,83,8,3,46,83,.000246474,7
11,10,43,69,9,7,37,59,9,5,39,61,9,5,40,64,9,5,40,64,.00850941,8
14,7,67,115,13,8,66,113,9,5,47,82,9,5,39,60,9,5,39,60,.000295242,9
13,9,51,79,8,5,31,45,8,4,30,44,8,4,30,44,8,4,30,44,.000226422,9
8,3,29,42,9,6,33,50,8,3,25,34,8,3,25,34,8,3,25,34,.000212131,7
14,11,63,106,11,9,52,85,11,7,51,82,11,7,55,92,11,7,55,92,.000267302,12
9,5,47,80,7,5,38,68,7,2,38,68,7,2,38,68,7,2,38,68,.000221033,6
18,10,74,127,9,7,39,68,9,6,39,67,9,6,41,70,9,6,41,70,.000254599,10
11,8,53,93,8,7,45,81,8,5,44,79,8,5,44,79,8,5,44,79,.000304748,9
15,9,62,98,8,7,41,69,8,4,45,75,8,4,45,75,8,4,45,75,.000282281,7
20,16,106,177,15,10,84,138,15,10,83,135,15,10,74,117,15,10,74,117,.000275462,15
8,7,40,67,9,7,45,75,8,5,44,78,8,5,41,72,8,5,41,72,.000231293,9
7,4,42,69,7,4,43,72,7,3,39,67,7,3,39,67,7,3,39,67,.00023589,7
17,14,70,116,12,10,49,81,11,5,42,68,11,5,45,76,11,5,45,76,.000224224,10
16,12,69,114,15,13,85,149,13,8,52,80,13,8,59,97,13,8,59,97,.000242762,12
11,8,64,108,10,6,62,108,9,5,59,102,9,5,52,88,9,5,52,88,.000227908,10
10,6,39,60,10,5,41,63,10,5,35,53,10,5,35,53,10,5,35,53,.000301935,9
11,5,65,113,11,6,67,117,11,5,65,113,11,5,65,113,11,5,65,113,.000308789,10
23,12,91,144,12,8,60,100,12,6,60,100,11,6,60,103,11,6,60,103,.000325757,11
11,7,51,87,9,6,42,76,9,4,44,74,9,4,43,70,9,4,43,70,.000227945,9
12,8,61,105,8,6,38,64,8,5,39,66,8,5,39,66,8,5,39,66,.000233552,8
19,12,75,114,13,10,65,108,12,9,57,90,12,9,58,92,12,9,58,92,.000247851,12
12,7,66,117,18,14,84,148,10,6,60,109,10,6,60,109,10,6,60,109,.000239694,9
19,12,87,141,10,11,55,91,10,6,49,77,10,6,45,72,10,6,45,72,.000299718,11
13,10,80,142,14,12,81,138,9,5,49,81,9,5,49,81,9,5,49,81,.000226754,8
15,10,64,104,12,10,54,87,11,7,56,92,11,7,53,83,11,7,53,83,.000300675,10
9,5,51,86,11,6,57,96,9,4,51,86,9,4,54,94,9,4,54,94,.000222105,8
10,9,51,84,9,9,45,75,8,5,31,47,8,5,31,47,8,5,31,47,.000285399,9
22,19,100,165,16,12,87,149,13,8,72,123,13,8,67,114,13,8,67,114,.000260851,13
13,12,67,115,10,8,57,99,10,6,53,87,10,6,58,99,10,6,58,99,.000235126,11
19,15,97,159,15,12,72,117,15,10,66,104,15,10,67,103,15,10,67,103,.000348304,15
15,8,77,130,9,8,77,144,9,6,78,146,9,6,78,146,9,6,78,146,.000235091,9
13,10,54,83,15,13,72,115,11,8,53,85,11,8,51,78,11,8,51,78,.000240822,12
12,10,70,119,11,10,72,129,11,8,68,116,11,8,68,120,11,8,68,120,.000421124,12
19,15,94,165,13,12,79,138,13,9,73,127,13,9,68,114,13,9,68,114,.000294568,14
16,14,73,120,10,5,34,48,10,4,31,43,10,4,31,43,10,4,31,43,.000271562,9
14,10,78,132,17,13,89,153,10,5,60,102,10,5,59,103,10,5,59,103,.000230551,9
15,6,52,82,14,7,61,100,14,6,60,98,14,6,50,80,14,6,50,80,.000271017,11
12,10,43,64,11,11,42,65,11,8,43,65,11,8,43,66,11,8,43,66,.000252673,12
11,9,57,100,11,9,56,96,11,7,54,89,11,7,58,95,11,7,58,95,.000313574,12
12,7,53,85,9,8,47,83,9,5,49,87,9,5,52,94,9,5,52,94,.000228167,9
15,9,101,188,12,5,83,155,12,5,83,155,12,5,89,166,12,5,89,166,.000316248,10
22,17,85,129,13,12,68,112,8,6,33,50,8,6,31,46,8,6,31,46,.000236021,10
11,7,39,60,10,9,38,59,10,5,38,59,10,5,38,59,10,5,38,59,.000233611,10
22,14,60,83,19,12,51,66,13,9,29,35,13,9,29,35,13,9,29,35,.000245924,13
17,9,61,93,12,7,47,73,11,6,45,73,11,6,51,84,11,6,51,84,.000234012,10
11,10,68,120,11,9,50,80,11,7,57,97,11,7,52,85,11,7,52,85,.000242209,11
9,6,39,61,9,6,44,72,9,6,44,72,9,6,43,70,9,6,43,70,.000231286,10
12,7,41,57,11,5,33,46,11,5,28,36,11,5,34,45,11,5,34,45,.00022114,10
7,2,36,64,7,2,36,64,7,1,36,64,7,1,36,64,7,1,36,64,.000194211,6
21,13,95,155,14,8,72,120,14,8,72,120,14,8,70,117,14,8,70,117,.000257308,13
21,15,85,136,8,3,29,42,8,3,29,42,8,3,29,42,8,3,29,42,.00027316,7
22,15,108,174,13,10,89,159,12,8,83,147,12,8,75,129,12,8,75,129,.000272497,13
14,7,64,103,13,12,62,100,12,7,59,97,12,7,60,103,12,7,60,103,.000239959,12
22,19,96,167,16,15,60,97,14,11,54,87,14,11,52,82,14,11,52,82,.000263258,16
12,7,28,34,12,9,40,55,11,7,27,33,11,7,27,33,11,7,27,33,.000229085,11
27,17,108,188,11,10,50,81,11,8,53,90,11,8,55,94,11,8,55,94,.000249401,11
10,4,35,55,8,4,31,50,8,2,31,50,8,2,31,50,8,2,31,50,.000223092,7
11,4,45,70,8,4,40,65,8,2,40,65,8,2,40,65,8,2,40,65,.000206217,7
16,9,70,116,11,8,64,110,11,7,58,98,11,7,55,89,11,7,55,89,.000239732,11
12,10,63,110,12,10,61,110,12,7,63,109,12,7,62,100,12,7,62,100,.000252112,12
24,17,98,153,9,8,51,90,9,5,51,91,9,5,50,89,9,5,50,89,.000229924,9
9,3,48,80,7,4,43,76,7,2,42,74,7,2,41,70,7,2,41,70,.000216019,7
13,11,65,113,15,11,76,125,9,7,50,86,9,7,50,86,9,7,50,86,.000265782,10
15,12,69,122,11,11,45,69,11,7,52,93,11,7,52,88,11,7,52,88,.000251896,11
13,8,57,93,12,6,58,96,12,6,54,87,12,6,52,80,12,6,52,80,.000228394,11
16,12,79,133,11,10,57,94,11,7,58,101,11,7,54,90,11,7,54,90,.000253367,11
17,10,68,108,12,9,66,110,12,7,64,106,12,7,57,91,12,7,57,91,.00025317,12
12,7,63,110,12,8,54,89,12,7,60,105,12,7,63,110,12,7,63,110,.00024186,12
26,19,136,236,13,10,72,133,13,9,71,130,13,9,76,141,13,9,76,141,.000266636,14
23,15,100,165,15,13,71,115,13,8,69,116,13,8,55,83,13,8,55,83,.000265566,13
15,12,87,145,13,12,72,118,11,7,67,114,11,7,55,90,11,7,55,90,.000246385,11
13,8,54,87,13,7,59,95,11,6,51,84,11,6,48,78,11,6,48,78,.000236053,10
16,10,79,141,15,7,72,125,11,5,64,110,11,5,61,99,11,5,61,99,.000235069,9
10,5,42,66,8,4,40,67,8,3,38,62,8,3,38,62,8,3,38,62,.000227332,7
6,3,21,29,6,5,21,29,6,3,21,29,6,3,21,29,6,3,21,29,.000197975,6
17,8,55,89,9,8,39,68,8,3,43,74,8,3,43,74,8,3,43,74,.000215309,7
10,6,67,116,9,7,65,120,8,3,61,114,8,3,61,114,8,3,61,114,.000280448,8
9,7,57,100,9,7,57,99,9,6,57,100,9,6,61,106,9,6,61,106,.000232393,9
13,10,48,71,8,7,40,63,8,4,29,42,8,4,25,34,8,4,25,34,.000240041,8
12,9,54,85,11,8,52,82,11,8,53,85,11,8,40,58,11,8,40,58,.000298496,11
15,10,43,61,14,8,40,58,14,7,40,58,14,7,40,58,14,7,40,58,.000326105,12
13,8,60,104,10,6,51,85,10,5,51,85,10,5,52,86,10,5,52,86,.000322814,10
13,11,54,85,9,6,51,86,9,5,50,87,9,5,47,84,9,5,47,84,.000259067,10
16,11,61,92,9,7,35,52,9,5,33,50,9,5,33,50,9,5,33,50,.000252254,9
24,18,89,133,15,14,70,112,10,8,45,69,10,8,43,65,10,8,43,65,.000242451,12
13,12,53,83,12,13,69,118,11,9,60,100,11,9,68,113,11,9,68,113,.000252441,13
7,5,52,91,7,6,52,92,7,4,51,89,7,4,55,97,7,4,55,97,.000269191,7
7,3,23,35,7,3,23,35,7,2,23,35,7,2,23,35,7,2,23,35,.000283287,7
11,9,68,120,12,10,64,108,10,7,67,119,10,7,63,110,10,7,63,110,.000262025,11
13,6,65,110,11,6,61,106,11,4,58,101,11,4,58,101,11,4,58,101,.000243503,9
10,8,64,112,11,10,64,109,9,6,53,89,9,6,54,99,9,6,54,99,.000338046,10
19,15,101,173,10,8,52,86,9,6,51,85,9,6,51,88,9,6,51,88,.00023461,8
10,6,81,148,10,6,74,133,10,4,76,139,10,4,63,110,10,4,63,110,.000304112,9
8,4,28,41,6,4,24,37,6,4,24,37,6,4,24,37,6,4,24,37,.000224121,8
10,5,37,58,10,4,37,58,10,4,37,58,10,4,37,58,10,4,37,58,.000289802,9
11,5,71,121,11,5,70,124,11,4,71,125,11,4,68,118,11,4,68,118,.000228832,9
5,2,13,17,5,2,13,17,5,2,13,17,5,2,19,29,5,2,19,29,.000197034,5
26,15,147,252,16,13,97,172,15,9,92,164,15,9,88,156,15,9,88,156,.000365018,14
11,8,45,72,11,9,44,69,9,6,50,84,9,6,49,82,9,6,49,82,.000234424,10
20,12,74,120,11,7,43,66,11,6,42,64,11,6,55,90,11,6,55,90,.000236743,11
13,6,44,73,8,5,33,58,7,2,32,55,7,2,32,55,7,2,32,55,.000207609,6
19,17,94,157,14,11,76,128,13,9,71,120,13,9,61,98,13,9,61,98,.000270101,14
10,5,39,60,9,6,37,59,9,4,34,52,9,4,34,52,9,4,34,52,.000231479,9
20,16,85,136,16,13,62,97,14,10,61,99,13,10,67,115,13,10,67,115,.000332701,14
11,8,44,69,7,3,27,41,7,3,27,41,7,3,27,41,7,3,27,41,.000216691,7
21,16,96,168,9,10,50,89,8,5,49,89,8,5,49,89,8,5,49,89,.000305643,8
15,11,57,83,13,9,60,95,13,8,55,85,13,8,57,88,13,8,57,88,.000271804,13
16,9,76,127,11,8,64,109,11,7,61,102,11,7,60,101,11,7,60,101,.000251324,12
6,5,32,53,6,4,26,42,6,3,32,53,6,3,35,63,6,3,35,63,.000215268,7
22,19,106,171,13,10,67,116,12,8,60,99,12,8,62,102,12,8,62,102,.000260321,13
18,13,87,138,15,14,89,150,15,11,77,123,15,11,84,139,15,11,84,139,.000272203,16
11,7,58,95,8,7,47,78,8,5,45,75,8,5,46,78,8,5,46,78,.000223147,9
10,7,51,88,11,9,66,117,9,7,49,86,9,7,50,88,9,7,50,88,.000272506,11
15,9,66,105,10,8,49,77,10,6,50,81,10,6,51,82,10,6,51,82,.00030075,10
11,8,51,79,9,8,54,96,9,6,51,88,9,6,51,88,9,6,51,88,.000248154,10
18,12,94,162,13,8,87,151,13,8,87,151,13,8,85,148,13,8,85,148,.000254117,13
16,9,61,94,11,7,47,76,11,4,40,60,11,4,35,51,11,4,35,51,.000219007,9
18,9,81,132,12,10,54,87,12,7,60,98,12,7,62,103,12,7,62,103,.000327832,11
11,7,56,91,11,8,57,95,11,6,69,118,11,6,57,95,11,6,57,95,.000242706,11
19,9,86,146,19,9,95,166,11,5,58,102,11,5,62,111,11,5,62,111,.000331928,10
14,12,67,106,11,9,66,111,11,7,67,114,11,7,67,114,11,7,67,114,.000245125,10
12,8,58,98,10,7,56,102,10,5,52,88,10,5,48,78,10,5,48,78,.000232622,10
14,11,51,77,9,8,44,70,9,6,46,78,9,6,51,91,9,6,51,91,.000236467,10
26,19,127,217,14,11,97,174,11,7,76,135,11,7,78,139,11,7,78,139,.000247495,11
11,6,40,57,9,9,42,68,8,4,35,55,8,4,35,55,8,4,35,55,.000257859,8
13,10,55,86,12,7,49,76,12,7,49,76,12,7,58,97,12,7,58,97,.000246422,12
15,8,107,195,10,7,82,154,9,4,69,128,9,4,69,128,9,4,69,128,.000315871,7
17,13,69,104,14,9,59,91,12,9,55,87,12,9,64,108,12,9,64,108,.000265451,13
17,14,77,137,12,11,66,120,12,9,59,100,12,9,57,97,12,9,57,97,.000271576,13
16,14,92,155,10,11,64,114,10,6,67,118,10,6,70,124,10,6,70,124,.000278826,9
20,15,80,123,12,11,57,94,11,7,57,92,11,7,60,98,11,7,60,98,.000237053,11
10,6,33,50,9,5,26,37,9,5,26,37,9,5,26,37,9,5,26,37,.000224802,10
8,6,53,96,9,6,51,91,9,5,51,91,9,5,50,89,9,5,50,89,.000236187,10
8,4,21,28,7,4,28,45,6,2,17,22,6,2,17,22,6,2,17,22,.000268011,6
19,14,88,146,14,12,72,118,14,9,70,119,14,9,71,118,14,9,71,118,.000288122,14
7,2,41,74,7,2,41,74,7,1,41,74,7,1,41,74,7,1,41,74,.000227965,6
11,6,32,43,8,5,27,37,8,5,27,37,8,5,32,47,8,5,32,47,.000225878,10
16,10,72,117,12,11,48,75,11,7,45,71,11,7,45,71,11,7,45,71,.000235564,11
16,11,81,142,17,10,84,146,10,5,60,105,10,5,60,105,10,5,60,105,.00022767,9
14,8,51,76,8,5,37,60,8,4,36,58,8,4,33,51,8,4,33,51,.000225063,8
8,5,31,46,8,4,30,45,7,3,23,31,7,3,23,31,7,3,23,31,.000229884,7
12,8,59,99,10,8,52,86,10,6,54,91,10,6,50,86,10,6,50,86,.000237883,11
21,18,107,175,10,9,57,100,10,7,66,117,10,7,60,103,10,7,60,103,.000280616,11
13,14,84,149,11,10,69,120,10,6,66,115,10,6,59,100,10,6,59,100,.000235187,10
41,34,147,223,13,12,44,64,13,10,46,67,13,10,38,51,13,10,38,51,.000309446,15
16,11,63,98,11,8,41,62,11,7,39,58,11,7,39,58,11,7,39,58,.000257596,11
14,12,49,70,10,6,45,69,10,6,45,69,10,6,37,53,10,6,37,53,.000262779,11
12,10,58,96,15,14,71,119,10,7,56,93,10,7,47,75,10,7,47,75,.000251126,11
13,9,63,105,10,6,50,84,7,4,39,67,7,4,39,67,7,4,39,67,.000218399,7
16,13,56,80,14,12,56,84,13,9,47,68,13,9,43,61,13,9,43,61,.000257967,14
27,21,96,141,15,11,55,81,15,9,54,80,15,9,63,97,15,9,63,97,.000263729,13
25,18,108,178,19,14,96,169,13,9,62,99,13,9,62,99,13,9,62,99,.000293855,13
23,17,113,190,10,9,49,89,10,7,46,77,10,7,48,84,10,7,48,84,.000254947,11
8,5,41,69,7,5,37,63,7,2,39,66,7,2,39,66,7,2,39,66,.000267098,6
19,14,50,65,13,12,67,106,13,9,59,90,13,9,46,64,13,9,46,64,.000292441,14
11,5,38,56,9,5,34,52,7,3,20,25,7,3,20,25,7,3,20,25,.000198649,7
11,7,37,55,15,12,55,81,10,6,36,54,10,6,36,54,10,6,36,54,.000323131,10
14,8,65,102,13,11,71,115,12,6,69,114,12,6,83,145,12,6,83,145,.000279269,11
20,15,85,136,14,12,53,78,12,7,47,73,12,7,58,99,12,7,58,99,.000330799,11
11,6,39,59,8,6,33,55,8,3,40,71,8,3,40,71,8,3,40,71,.000281926,8
10,7,56,95,10,6,59,105,10,6,60,105,10,6,57,94,10,6,57,94,.000238966,10
22,11,63,87,21,20,91,142,15,9,53,75,14,9,47,68,14,9,47,68,.00026468,13
12,8,51,87,9,4,43,75,8,4,40,70,8,4,40,70,8,4,40,70,.000285123,8
15,8,76,128,12,8,72,128,11,6,65,115,11,6,67,119,11,6,67,119,.000243287,11
15,13,79,136,14,10,72,115,14,10,72,115,14,10,71,122,14,10,71,122,.000262278,15
10,8,46,77,6,1,22,32,6,1,22,32,6,1,22,32,6,1,22,32,.00020179,5
10,6,50,82,9,4,39,62,9,4,39,62,9,4,38,61,9,4,38,61,.000236966,9
16,7,78,142,10,7,66,120,10,4,67,124,10,4,67,124,10,4,67,124,.000244516,9
11,6,58,101,12,6,64,113,11,4,57,101,11,4,57,101,11,4,57,101,.000249338,9
10,4,39,61,8,5,36,57,8,4,36,58,8,4,34,53,8,4,34,53,.000250487,9
10,5,30,38,7,4,21,27,7,4,21,27,7,4,21,27,7,4,21,27,.000232927,7
11,8,55,94,9,5,41,63,9,5,41,63,9,5,41,63,9,5,41,63,.000252728,10
14,13,67,108,15,17,76,133,11,8,61,104,11,8,52,83,11,8,52,83,.000320481,12
20,12,71,111,10,11,40,61,9,5,34,51,9,5,34,51,9,5,34,51,.000243744,9
31,24,86,116,14,11,35,44,13,9,34,43,13,9,34,43,13,9,34,43,.00026781,13
10,5,31,42,9,6,37,57,9,4,27,37,9,4,27,37,9,4,27,37,.000226581,8
14,8,63,110,14,11,63,109,10,6,53,94,10,6,53,94,10,6,53,94,.00025147,10
8,5,36,57,8,3,30,44,8,3,30,44,8,3,35,55,8,3,35,55,.00024494,8
15,7,71,126,11,6,64,117,11,5,63,111,11,5,73,127,11,5,73,127,.000276991,10
13,8,51,81,8,4,46,78,7,2,47,82,7,2,47,82,7,2,47,82,.000224839,6
26,20,95,146,24,15,99,159,12,8,60,98,11,8,56,95,11,8,56,95,.000242491,12
19,14,91,154,19,16,86,147,12,8,63,108,12,8,58,95,12,8,58,95,.000247484,12
8,4,38,67,7,4,41,74,7,2,43,78,7,2,43,78,7,2,43,78,.000212287,6
13,9,48,74,11,7,41,62,10,6,39,60,10,6,42,66,10,6,42,66,.000265726,11
7,3,31,48,7,4,31,48,7,3,31,48,7,3,31,48,7,3,31,48,.000201179,7
9,7,45,77,10,8,45,76,8,4,41,71,8,4,41,71,8,4,41,71,.000216271,7
19,15,77,122,15,13,62,97,15,9,62,97,15,9,62,96,15,9,62,96,.000265368,14
10,9,41,65,9,9,50,84,8,5,38,61,8,5,42,71,8,5,42,71,.000232871,8
21,14,100,165,14,10,71,122,14,8,73,125,14,8,75,132,14,8,75,132,.000272135,13
10,7,53,92,10,7,55,94,10,5,57,96,10,5,57,96,10,5,57,96,.000260875,10
18,14,89,143,13,10,79,135,13,8,76,129,13,8,80,136,13,8,80,136,.000290258,12
13,10,41,60,10,9,37,55,10,7,36,54,10,7,34,53,10,7,34,53,.000234618,11
13,9,69,117,11,8,54,88,10,6,39,60,10,6,39,60,10,6,39,60,.000235379,11
18,15,96,168,15,11,81,137,13,7,63,105,13,7,74,128,13,7,74,128,.000253148,12
29,22,96,154,14,10,54,90,14,10,54,90,14,10,57,94,14,10,57,94,.000261752,14
12,9,63,106,12,10,62,101,12,8,58,94,12,8,63,105,12,8,63,105,.000244661,12
13,9,57,91,7,7,23,31,7,4,21,28,7,4,21,28,7,4,21,28,.000237777,8
20,15,78,124,12,10,76,134,12,8,75,125,12,8,69,115,12,8,69,115,.000275072,13
6,3,27,46,7,4,28,45,6,2,27,46,6,2,27,46,6,2,27,46,.000255943,6
15,11,61,96,11,8,46,69,11,8,46,69,11,8,46,69,11,8,46,69,.000241772,13
19,12,56,79,10,7,35,50,10,7,35,50,10,7,32,47,10,7,32,47,.000224598,11
21,17,88,146,12,9,63,108,12,5,53,82,12,5,56,89,12,5,56,89,.000232682,10
12,9,52,83,10,7,48,85,10,7,48,85,10,7,47,78,10,7,47,78,.000250339,12
11,8,64,109,11,8,63,110,11,8,63,110,11,8,73,130,11,8,73,130,.000251879,12
8,8,38,60,7,7,32,55,7,5,29,45,7,5,29,44,7,5,29,44,.000228827,9
12,8,67,121,10,7,56,103,9,5,52,96,9,5,50,89,9,5,50,89,.000302371,10
9,6,56,92,9,6,54,90,9,5,52,87,9,5,55,90,9,5,55,90,.000253783,10
14,10,63,109,11,9,55,98,8,4,45,82,8,4,45,82,8,4,45,82,.000286582,8
14,9,52,81,9,10,39,62,8,4,41,69,8,4,41,69,8,4,41,69,.00021212,8
18,12,78,128,10,5,46,77,10,5,46,77,10,5,48,83,10,5,48,83,.00033284,10
8,4,37,60,8,4,40,67,7,3,34,56,7,3,34,56,7,3,34,56,.000236585,8
15,10,73,119,13,11,61,100,13,8,63,100,13,8,65,104,13,8,65,104,.000254166,13
16,10,62,95,10,5,49,82,10,5,49,82,10,5,40,62,10,5,40,62,.00023674,10
17,13,105,185,17,12,96,168,12,8,68,115,12,8,66,110,12,8,66,110,.000330925,12
15,9,84,152,16,15,97,176,11,6,68,125,11,6,68,125,11,6,68,125,.000325006,10
13,8,65,111,12,8,63,107,12,7,64,109,11,7,60,101,11,7,60,101,.000314159,12
12,12,58,102,10,6,60,109,10,6,60,109,10,6,60,106,10,6,60,106,.000252358,11
16,14,87,145,13,13,81,138,11,6,66,111,11,6,65,110,11,6,65,110,.000256025,10
19,12,82,132,16,9,66,102,14,9,61,96,14,9,63,97,14,9,63,97,.000252136,14
18,13,75,117,14,11,67,106,14,11,67,106,13,11,63,101,13,11,63,101,.000348749,15
14,8,49,78,10,6,47,79,10,4,52,87,10,4,53,95,10,4,53,95,.0002528,9
15,9,60,99,12,9,51,84,12,6,53,89,12,6,52,86,12,6,52,86,.000322397,11
