Random,Random,Random,Random,First,First,First,First,Degree,Degree,Degree,Degree,Normal,Normal,Normal,Normal,Sugar,Sugar,Sugar,Sugar,Difficulty,Difficulty
zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,time (seconds),generators
12,8,49,78,10,5,46,72,10,5,42,63,11,5,40,59,11,5,40,59,.000255097,10
9,5,48,82,11,10,67,114,9,5,48,82,9,5,48,82,9,5,48,82,.000288065,9
8,5,53,88,8,6,53,88,8,4,53,88,8,4,53,88,8,4,53,88,.000235561,9
9,7,51,91,10,9,49,86,9,5,53,95,9,5,46,81,9,5,46,81,.000238143,9
11,6,52,91,8,5,40,71,8,5,40,71,8,5,40,71,8,5,40,71,.000237662,10
8,4,50,91,9,4,56,103,8,3,50,91,8,3,50,91,8,3,50,91,.000234948,7
8,8,32,50,7,5,29,45,7,5,29,45,7,5,29,45,7,5,29,45,.000239537,8
15,8,67,116,10,6,44,75,10,5,45,77,10,5,45,77,10,5,45,77,.000234736,10
20,12,106,185,15,12,87,155,15,9,89,159,15,9,94,163,15,9,94,163,.000537958,14
7,4,35,61,6,3,29,49,6,3,29,49,6,3,28,48,6,3,28,48,.000223872,7
9,6,37,60,6,3,29,51,6,3,29,51,6,3,29,51,6,3,29,51,.00026896,6
12,5,87,153,13,6,93,165,9,4,61,107,9,4,61,107,9,4,61,107,.000243211,9
14,9,93,169,12,9,85,158,12,6,89,163,12,6,88,164,12,6,88,164,.000345158,11
20,15,84,136,12,7,58,95,11,5,52,85,11,5,47,74,11,5,47,74,.000240728,10
14,10,61,101,11,7,60,105,9,5,49,85,9,5,49,85,9,5,49,85,.000224842,9
15,12,68,111,13,11,65,104,13,10,65,104,13,10,62,101,13,10,62,101,.000253277,14
16,9,83,141,16,10,92,160,12,6,64,107,12,6,66,111,12,6,66,111,.000297442,11
14,8,69,113,16,10,72,118,11,7,48,76,11,7,56,97,11,7,56,97,.000336655,12
17,11,78,133,12,10,63,110,12,8,59,97,12,8,60,105,12,8,60,105,.000257238,13
12,12,63,104,11,8,55,89,11,8,55,89,11,8,60,99,11,8,60,99,.00028537,13
18,13,92,153,15,8,62,100,10,5,51,85,10,5,54,91,10,5,54,91,.000301487,9
16,10,73,121,11,7,57,94,11,7,62,102,11,7,65,109,11,7,65,109,.000271649,11
11,8,53,90,8,6,41,68,8,5,41,67,8,5,31,45,8,5,31,45,.000224419,9
13,6,78,131,11,5,80,139,11,5,80,139,11,5,80,139,11,5,80,139,.000309084,10
13,6,55,93,8,4,47,85,8,3,47,85,8,3,47,85,8,3,47,85,.000234178,8
22,17,99,168,15,10,75,131,15,9,74,125,14,9,75,127,14,9,75,127,.000285657,14
18,16,72,126,12,10,53,89,12,7,49,78,12,7,50,77,12,7,50,77,.00032626,12
26,16,104,169,12,10,48,74,11,6,47,76,11,6,49,81,11,6,49,81,.000250383,10
12,8,56,91,13,7,60,96,12,6,52,81,12,6,48,72,12,6,48,72,.000265031,11
24,20,111,198,14,13,77,134,14,9,76,125,14,9,76,125,14,9,76,125,.000258333,13
16,7,71,123,8,5,49,90,8,2,49,90,8,2,49,90,8,2,49,90,.000211791,7
9,4,39,60,9,6,49,81,9,4,41,64,9,4,41,64,9,4,41,64,.000242025,9
20,11,70,103,10,9,50,82,10,5,50,83,10,5,58,106,10,5,58,106,.000259882,10
11,7,52,85,9,6,59,101,9,5,62,107,9,5,65,113,9,5,65,113,.000305489,10
28,17,88,127,15,13,72,115,12,9,71,118,12,9,72,120,12,9,72,120,.000261594,13
9,7,53,95,9,7,58,107,9,5,54,99,9,5,52,95,9,5,52,95,.00022816,9
22,15,115,186,15,11,68,107,15,9,65,99,15,9,46,64,15,9,46,64,.000292021,13
11,6,43,67,10,6,39,59,9,3,33,51,9,3,33,51,9,3,33,51,.000215935,8
9,4,25,34,9,4,36,57,9,4,36,57,9,4,25,34,9,4,25,34,.000395142,9
15,13,100,177,15,14,89,157,12,9,76,135,12,9,69,121,12,9,69,121,.000296804,13
8,5,46,83,8,4,34,53,8,4,34,53,8,4,39,63,8,4,39,63,.000317427,9
11,7,56,91,10,6,59,98,10,6,59,98,10,6,53,86,10,6,53,86,.000323417,11
17,12,95,162,12,10,71,122,12,6,69,118,12,6,60,98,12,6,60,98,.000271667,10
10,7,50,84,10,6,49,77,10,5,48,77,10,5,65,114,10,5,65,114,.000229508,10
9,6,51,92,9,7,52,94,9,5,50,91,9,5,43,77,9,5,43,77,.000228416,10
